date	year	week	code	type	value
2023-12-07	2023	49	/	New users	12
2023-12-07	2023	49	/	Sessions	14
2023-12-07	2023	49	/de	Active users	0
2023-12-07	2023	49	/de	Average engagement time per session	0
2023-12-07	2023	49	/de	New users	0
2023-12-07	2023	49	/de	Sessions	3
2023-12-07	2023	49	/de/objednavka	Active users	0
2023-12-07	2023	49	/de/objednavka	Average engagement time per session	0
2023-12-07	2023	49	/de/objednavka	New users	0
2023-12-07	2023	49	/de/objednavka	Sessions	1
2023-12-07	2023	49	/objednavka	Active users	0
2023-12-07	2023	49	/objednavka	Average engagement time per session	0
2023-12-07	2023	49	/objednavka	New users	0
2023-12-07	2023	49	/objednavka	Sessions	1
2023-12-07	2023	49	/pl	Active users	1
2023-12-07	2023	49	/pl	Average engagement time per session	96
2023-12-07	2023	49	/pl	New users	1
2023-12-07	2023	49	/pl	Sessions	1
2023-12-08	2023	49	/	Active users	19
2023-12-08	2023	49	/	Average engagement time per session	184
2023-12-08	2023	49	/	New users	16
2023-12-08	2023	49	/	Sessions	21
2023-12-08	2023	49	/de	Active users	2
2023-12-08	2023	49	/de	Average engagement time per session	8
2023-12-08	2023	49	/de	New users	2
2023-12-08	2023	49	/de	Sessions	4
2023-12-08	2023	49	/de/objednavka	Active users	1
2023-12-08	2023	49	/de/objednavka	Average engagement time per session	6
2023-12-08	2023	49	/de/objednavka	New users	0
2023-12-08	2023	49	/de/objednavka	Sessions	1
2023-12-08	2023	49	/objednavka	Active users	1
2023-12-08	2023	49	/objednavka	Average engagement time per session	774
2023-12-08	2023	49	/objednavka	New users	1
2023-12-08	2023	49	/objednavka	Sessions	1
2023-12-08	2023	49	/pl	Active users	1
2023-12-08	2023	49	/pl	Average engagement time per session	0
2023-12-08	2023	49	/pl	New users	1
2023-12-08	2023	49	/pl	Sessions	2
2023-12-09	2023	49	/	Active users	27
2023-12-09	2023	49	/	Average engagement time per session	188
2023-12-09	2023	49	/	New users	25
2023-12-09	2023	49	/	Sessions	28
2023-12-09	2023	49	/de	Active users	1
2023-12-09	2023	49	/de	Average engagement time per session	128
2023-12-09	2023	49	/de	New users	1
2023-12-09	2023	49	/de	Sessions	2
2023-12-09	2023	49	/en	Active users	2
2023-12-09	2023	49	/en	Average engagement time per session	71
2023-12-09	2023	49	/en	New users	2
2023-12-09	2023	49	/en	Sessions	2
2023-12-09	2023	49	/en/objednavka	Active users	1
2023-12-09	2023	49	/en/objednavka	Average engagement time per session	0
2023-12-09	2023	49	/en/objednavka	New users	0
2023-12-09	2023	49	/en/objednavka	Sessions	1
2023-12-09	2023	49	/pl	Active users	1
2023-12-09	2023	49	/pl	Average engagement time per session	13
2023-12-09	2023	49	/pl	New users	1
2023-12-09	2023	49	/pl	Sessions	1
2023-12-10	2023	49	/	Active users	39
2023-12-10	2023	49	/	Average engagement time per session	111
2023-12-10	2023	49	/	New users	35
2023-12-10	2023	49	/	Sessions	39
2023-12-10	2023	49	/en/objednavka	Active users	1
2023-12-10	2023	49	/en/objednavka	Average engagement time per session	0
2023-12-10	2023	49	/en/objednavka	New users	0
2023-12-10	2023	49	/en/objednavka	Sessions	1
2023-12-10	2023	49	/objednavka	Active users	2
2023-12-10	2023	49	/objednavka	Average engagement time per session	110
2023-12-10	2023	49	/objednavka	New users	1
2023-12-10	2023	49	/objednavka	Sessions	3
2023-12-10	2023	49	/pl	Active users	1
2023-12-10	2023	49	/pl	Average engagement time per session	1204
2023-12-10	2023	49	/pl	New users	1
2023-12-10	2023	49	/pl	Sessions	1
2023-12-10	2023	49	/pl/objednavka	Active users	0
2023-12-10	2023	49	/pl/objednavka	Average engagement time per session	0
2023-12-10	2023	49	/pl/objednavka	New users	0
2023-12-10	2023	49	/pl/objednavka	Sessions	1
2023-12-11	2023	50	/	Active users	37
2023-12-11	2023	50	/	Average engagement time per session	71
2023-12-11	2023	50	/	New users	36
2023-12-11	2023	50	/	Sessions	40
2023-12-11	2023	50	/de	Active users	1
2023-12-11	2023	50	/de	Average engagement time per session	0
2023-12-11	2023	50	/de	New users	1
2023-12-11	2023	50	/de	Sessions	2
2023-12-11	2023	50	/de/objednavka	Active users	2
2023-12-11	2023	50	/de/objednavka	Average engagement time per session	0
2023-12-11	2023	50	/de/objednavka	New users	1
2023-12-11	2023	50	/de/objednavka	Sessions	2
2023-12-12	2023	50	/	Active users	47
2023-12-12	2023	50	/	Average engagement time per session	147
2023-12-12	2023	50	/	New users	40
2023-12-12	2023	50	/	Sessions	54
2023-12-12	2023	50	/de/objednavka	Active users	1
2023-12-12	2023	50	/de/objednavka	Average engagement time per session	708
2023-12-12	2023	50	/de/objednavka	New users	0
2023-12-12	2023	50	/de/objednavka	Sessions	1
2023-12-12	2023	50	/en	Active users	1
2023-12-12	2023	50	/en	Average engagement time per session	112
2023-12-12	2023	50	/en	New users	1
2023-12-12	2023	50	/en	Sessions	1
2023-12-12	2023	50	/en/objednavka	Active users	1
2023-12-12	2023	50	/en/objednavka	Average engagement time per session	0
2023-12-12	2023	50	/en/objednavka	New users	0
2023-12-12	2023	50	/en/objednavka	Sessions	1
2023-12-12	2023	50	/pl	Active users	5
2023-12-12	2023	50	/pl	Average engagement time per session	963
2023-12-12	2023	50	/pl	New users	3
2023-12-12	2023	50	/pl	Sessions	5
2023-12-13	2023	50	/	Active users	32
2023-12-13	2023	50	/	Average engagement time per session	71
2023-12-13	2023	50	/	New users	32
2023-12-13	2023	50	/	Sessions	36
2023-12-13	2023	50	/de	Active users	3
2023-12-13	2023	50	/de	Average engagement time per session	0
2023-12-13	2023	50	/de	New users	3
2023-12-13	2023	50	/de	Sessions	3
2023-12-13	2023	50	/en	Active users	3
2023-12-13	2023	50	/en	Average engagement time per session	0
2023-12-13	2023	50	/en	New users	3
2023-12-13	2023	50	/en	Sessions	3
2023-12-13	2023	50	/en/objednavka	Active users	3
2023-12-13	2023	50	/en/objednavka	Average engagement time per session	0
2023-12-13	2023	50	/en/objednavka	New users	3
2023-12-13	2023	50	/en/objednavka	Sessions	3
2023-12-13	2023	50	/objednavka	Active users	4
2023-12-13	2023	50	/objednavka	Average engagement time per session	0
2023-12-13	2023	50	/objednavka	New users	3
2023-12-13	2023	50	/objednavka	Sessions	4
2023-12-13	2023	50	/pl	Active users	3
2023-12-13	2023	50	/pl	Average engagement time per session	0
2023-12-13	2023	50	/pl	New users	3
2023-12-13	2023	50	/pl	Sessions	3
2023-12-14	2023	50	/	Active users	24
2023-12-14	2023	50	/	Average engagement time per session	102
2023-12-14	2023	50	/	New users	22
2023-12-14	2023	50	/	Sessions	27
2023-12-14	2023	50	/de	Active users	0
2023-12-14	2023	50	/de	Average engagement time per session	0
2023-12-14	2023	50	/de	New users	0
2023-12-14	2023	50	/de	Sessions	1
2023-12-14	2023	50	/objednavka	Active users	1
2023-12-14	2023	50	/objednavka	Average engagement time per session	595
2023-12-14	2023	50	/objednavka	New users	0
2023-12-14	2023	50	/objednavka	Sessions	1
2023-12-14	2023	50	/pl	Active users	1
2023-12-14	2023	50	/pl	Average engagement time per session	667
2023-12-14	2023	50	/pl	New users	0
2023-12-14	2023	50	/pl	Sessions	1
2023-12-15	2023	50	/	Active users	26
2023-12-15	2023	50	/	Average engagement time per session	155
2023-12-15	2023	50	/	New users	22
2023-12-15	2023	50	/	Sessions	31
2023-12-15	2023	50	/pl	Active users	1
2023-12-15	2023	50	/pl	Average engagement time per session	25
2023-12-15	2023	50	/pl	New users	0
2023-12-15	2023	50	/pl	Sessions	2
2023-12-16	2023	50	/	Active users	33
2023-12-16	2023	50	/	Average engagement time per session	206
2023-12-16	2023	50	/	New users	29
2023-12-16	2023	50	/	Sessions	39
2023-12-16	2023	50	/de	Active users	2
2023-12-16	2023	50	/de	Average engagement time per session	110
2023-12-16	2023	50	/de	New users	1
2023-12-16	2023	50	/de	Sessions	3
2023-12-16	2023	50	/en	Active users	1
2023-12-16	2023	50	/en	Average engagement time per session	0
2023-12-16	2023	50	/en	New users	1
2023-12-16	2023	50	/en	Sessions	1
2023-12-16	2023	50	/objednavka	Active users	0
2023-12-16	2023	50	/objednavka	Average engagement time per session	0
2023-12-16	2023	50	/objednavka	New users	0
2023-12-16	2023	50	/objednavka	Sessions	1
2023-12-16	2023	50	/pl	Active users	1
2023-12-16	2023	50	/pl	Average engagement time per session	0
2023-12-16	2023	50	/pl	New users	1
2023-12-16	2023	50	/pl	Sessions	1
2023-12-17	2023	50	/	Active users	40
2023-12-17	2023	50	/	Average engagement time per session	188
2023-12-17	2023	50	/	New users	36
2023-12-17	2023	50	/	Sessions	44
2023-12-17	2023	50	/de	Active users	3
2023-12-17	2023	50	/de	Average engagement time per session	421
2023-12-17	2023	50	/de	New users	1
2023-12-17	2023	50	/de	Sessions	3
2023-12-17	2023	50	/en	Active users	2
2023-12-17	2023	50	/en	Average engagement time per session	3
2023-12-17	2023	50	/en	New users	1
2023-12-17	2023	50	/en	Sessions	2
2023-12-17	2023	50	/objednavka	Active users	2
2023-12-17	2023	50	/objednavka	Average engagement time per session	0
2023-12-17	2023	50	/objednavka	New users	1
2023-12-17	2023	50	/objednavka	Sessions	2
2023-12-17	2023	50	/pl	Active users	3
2023-12-17	2023	50	/pl	Average engagement time per session	375
2023-12-17	2023	50	/pl	New users	2
2023-12-17	2023	50	/pl	Sessions	3
2023-12-18	2023	51	/	Active users	28
2023-12-18	2023	51	/	Average engagement time per session	235
2023-12-18	2023	51	/	New users	23
2023-12-18	2023	51	/	Sessions	33
2023-12-18	2023	51	/de	Active users	3
2023-12-18	2023	51	/de	Average engagement time per session	202
2023-12-18	2023	51	/de	New users	1
2023-12-18	2023	51	/de	Sessions	4
2023-12-18	2023	51	/en	Active users	2
2023-12-18	2023	51	/en	Average engagement time per session	480
2023-12-18	2023	51	/en	New users	2
2023-12-18	2023	51	/en	Sessions	2
2023-12-18	2023	51	/objednavka	Active users	0
2023-12-18	2023	51	/objednavka	Average engagement time per session	0
2023-12-18	2023	51	/objednavka	New users	0
2023-12-18	2023	51	/objednavka	Sessions	1
2023-12-18	2023	51	/pl	Active users	6
2023-12-18	2023	51	/pl	Average engagement time per session	19
2023-12-18	2023	51	/pl	New users	5
2023-12-18	2023	51	/pl	Sessions	7
2023-12-18	2023	51	/pl/objednavka	Active users	1
2023-12-18	2023	51	/pl/objednavka	Average engagement time per session	0
2023-12-18	2023	51	/pl/objednavka	New users	1
2023-12-18	2023	51	/pl/objednavka	Sessions	3
2023-12-19	2023	51	/	Active users	29
2023-12-19	2023	51	/	Average engagement time per session	100
2023-12-19	2023	51	/	New users	28
2023-12-19	2023	51	/	Sessions	32
2023-12-19	2023	51	/de	Active users	3
2023-12-19	2023	51	/de	Average engagement time per session	22
2023-12-19	2023	51	/de	New users	1
2023-12-19	2023	51	/de	Sessions	4
2023-12-19	2023	51	/de/objednavka	Active users	2
2023-12-19	2023	51	/de/objednavka	Average engagement time per session	177
2023-12-19	2023	51	/de/objednavka	New users	0
2023-12-19	2023	51	/de/objednavka	Sessions	2
2023-12-19	2023	51	/en	Active users	4
2023-12-19	2023	51	/en	Average engagement time per session	25
2023-12-19	2023	51	/en	New users	3
2023-12-19	2023	51	/en	Sessions	4
2023-12-19	2023	51	/en/objednavka	Active users	2
2023-12-19	2023	51	/en/objednavka	Average engagement time per session	88
2023-12-19	2023	51	/en/objednavka	New users	1
2023-12-19	2023	51	/en/objednavka	Sessions	2
2023-12-19	2023	51	/objednavka	Active users	0
2023-12-19	2023	51	/objednavka	Average engagement time per session	0
2023-12-19	2023	51	/objednavka	New users	0
2023-12-19	2023	51	/objednavka	Sessions	1
2023-12-19	2023	51	/pl	Active users	3
2023-12-19	2023	51	/pl	Average engagement time per session	26
2023-12-19	2023	51	/pl	New users	2
2023-12-19	2023	51	/pl	Sessions	3
2023-12-19	2023	51	/pl/objednavka	Active users	0
2023-12-19	2023	51	/pl/objednavka	Average engagement time per session	0
2023-12-19	2023	51	/pl/objednavka	New users	0
2023-12-19	2023	51	/pl/objednavka	Sessions	3
2023-12-20	2023	51	/	Active users	22
2023-12-20	2023	51	/	Average engagement time per session	217
2023-12-20	2023	51	/	New users	18
2023-12-20	2023	51	/	Sessions	26
2023-12-20	2023	51	/de	Active users	1
2023-12-20	2023	51	/de	Average engagement time per session	0
2023-12-20	2023	51	/de	New users	1
2023-12-20	2023	51	/de	Sessions	1
2023-12-20	2023	51	/de/objednavka	Active users	1
2023-12-20	2023	51	/de/objednavka	Average engagement time per session	1
2023-12-20	2023	51	/de/objednavka	New users	0
2023-12-20	2023	51	/de/objednavka	Sessions	3
2023-12-20	2023	51	/en	Active users	3
2023-12-20	2023	51	/en	Average engagement time per session	538
2023-12-20	2023	51	/en	New users	2
2023-12-20	2023	51	/en	Sessions	5
2023-12-20	2023	51	/en/objednavka	Active users	2
2023-12-20	2023	51	/en/objednavka	Average engagement time per session	212
2023-12-20	2023	51	/en/objednavka	New users	0
2023-12-20	2023	51	/en/objednavka	Sessions	2
2023-12-20	2023	51	/objednavka	Active users	2
2023-12-20	2023	51	/objednavka	Average engagement time per session	46
2023-12-20	2023	51	/objednavka	New users	2
2023-12-20	2023	51	/objednavka	Sessions	2
2023-12-20	2023	51	/pl	Active users	2
2023-12-20	2023	51	/pl	Average engagement time per session	102
2023-12-20	2023	51	/pl	New users	1
2023-12-20	2023	51	/pl	Sessions	2
2023-12-20	2023	51	/pl/objednavka	Active users	0
2023-12-20	2023	51	/pl/objednavka	Average engagement time per session	0
2023-12-20	2023	51	/pl/objednavka	New users	0
2023-12-20	2023	51	/pl/objednavka	Sessions	3
2023-12-21	2023	51	/	Active users	24
2023-12-21	2023	51	/	Average engagement time per session	100
2023-12-21	2023	51	/	New users	21
2023-12-21	2023	51	/	Sessions	26
2023-12-21	2023	51	/de	Active users	2
2023-12-21	2023	51	/de	Average engagement time per session	48
2023-12-21	2023	51	/de	New users	2
2023-12-21	2023	51	/de	Sessions	3
2023-12-21	2023	51	/en	Active users	1
2023-12-21	2023	51	/en	Average engagement time per session	71
2023-12-21	2023	51	/en	New users	1
2023-12-21	2023	51	/en	Sessions	1
2023-12-21	2023	51	/en/objednavka	Active users	0
2023-12-21	2023	51	/en/objednavka	Average engagement time per session	0
2023-12-21	2023	51	/en/objednavka	New users	0
2023-12-21	2023	51	/en/objednavka	Sessions	1
2023-12-21	2023	51	/objednavka	Active users	2
2023-12-21	2023	51	/objednavka	Average engagement time per session	2
2023-12-21	2023	51	/objednavka	New users	1
2023-12-21	2023	51	/objednavka	Sessions	3
2023-12-21	2023	51	/pl	Active users	1
2023-12-21	2023	51	/pl	Average engagement time per session	54
2023-12-21	2023	51	/pl	New users	1
2023-12-21	2023	51	/pl	Sessions	1
2023-12-21	2023	51	/pl/objednavka	Active users	0
2023-12-21	2023	51	/pl/objednavka	Average engagement time per session	0
2023-12-21	2023	51	/pl/objednavka	New users	0
2023-12-21	2023	51	/pl/objednavka	Sessions	2
2023-12-22	2023	51	/	Active users	30
2023-12-22	2023	51	/	Average engagement time per session	225
2023-12-22	2023	51	/	New users	26
2023-12-22	2023	51	/	Sessions	36
2023-12-22	2023	51	/de	Active users	2
2023-12-22	2023	51	/de	Average engagement time per session	133
2023-12-22	2023	51	/de	New users	2
2023-12-22	2023	51	/de	Sessions	3
2023-12-22	2023	51	/de/objednavka	Active users	0
2023-12-22	2023	51	/de/objednavka	Average engagement time per session	0
2023-12-22	2023	51	/de/objednavka	New users	0
2023-12-22	2023	51	/de/objednavka	Sessions	2
2023-12-22	2023	51	/en	Active users	2
2023-12-22	2023	51	/en	Average engagement time per session	610
2023-12-22	2023	51	/en	New users	0
2023-12-22	2023	51	/en	Sessions	3
2023-12-22	2023	51	/en/objednavka	Active users	1
2023-12-22	2023	51	/en/objednavka	Average engagement time per session	1284
2023-12-22	2023	51	/en/objednavka	New users	0
2023-12-22	2023	51	/en/objednavka	Sessions	1
2023-12-22	2023	51	/objednavka	Active users	1
2023-12-22	2023	51	/objednavka	Average engagement time per session	6
2023-12-22	2023	51	/objednavka	New users	0
2023-12-22	2023	51	/objednavka	Sessions	1
2023-12-22	2023	51	/pl	Active users	2
2023-12-22	2023	51	/pl	Average engagement time per session	114
2023-12-22	2023	51	/pl	New users	2
2023-12-22	2023	51	/pl	Sessions	4
2023-12-22	2023	51	/pl/objednavka	Active users	0
2023-12-22	2023	51	/pl/objednavka	Average engagement time per session	0
2023-12-22	2023	51	/pl/objednavka	New users	0
2023-12-22	2023	51	/pl/objednavka	Sessions	1
2023-12-23	2023	51	/	Active users	39
2023-12-23	2023	51	/	Average engagement time per session	209
2023-12-23	2023	51	/	New users	31
2023-12-23	2023	51	/	Sessions	52
2023-12-23	2023	51	/de	Active users	2
2023-12-23	2023	51	/de	Average engagement time per session	416
2023-12-23	2023	51	/de	New users	2
2023-12-23	2023	51	/de	Sessions	2
2023-12-23	2023	51	/de/objednavka	Active users	0
2023-12-23	2023	51	/de/objednavka	Average engagement time per session	0
2023-12-23	2023	51	/de/objednavka	New users	0
2023-12-23	2023	51	/de/objednavka	Sessions	1
2023-12-23	2023	51	/en	Active users	2
2023-12-23	2023	51	/en	Average engagement time per session	0
2023-12-23	2023	51	/en	New users	2
2023-12-23	2023	51	/en	Sessions	2
2023-12-23	2023	51	/objednavka	Active users	2
2023-12-23	2023	51	/objednavka	Average engagement time per session	60
2023-12-23	2023	51	/objednavka	New users	2
2023-12-23	2023	51	/objednavka	Sessions	2
2023-12-23	2023	51	/pl	Active users	0
2023-12-23	2023	51	/pl	Average engagement time per session	0
2023-12-23	2023	51	/pl	New users	0
2023-12-23	2023	51	/pl	Sessions	2
2023-12-23	2023	51	/pl/objednavka	Active users	1
2023-12-23	2023	51	/pl/objednavka	Average engagement time per session	318
2023-12-23	2023	51	/pl/objednavka	New users	0
2023-12-23	2023	51	/pl/objednavka	Sessions	1
2023-12-24	2023	51	/	Active users	11
2023-12-24	2023	51	/	Average engagement time per session	103
2023-12-24	2023	51	/	New users	7
2023-12-24	2023	51	/	Sessions	17
2023-12-24	2023	51	/de	Active users	1
2023-12-24	2023	51	/de	Average engagement time per session	92
2023-12-24	2023	51	/de	New users	0
2023-12-24	2023	51	/de	Sessions	1
2023-12-24	2023	51	/de/objednavka	Active users	2
2023-12-24	2023	51	/de/objednavka	Average engagement time per session	577
2023-12-24	2023	51	/de/objednavka	New users	0
2023-12-24	2023	51	/de/objednavka	Sessions	3
2023-12-24	2023	51	/en	Active users	1
2023-12-24	2023	51	/en	Average engagement time per session	0
2023-12-24	2023	51	/en	New users	1
2023-12-24	2023	51	/en	Sessions	1
2023-12-24	2023	51	/pl/objednavka	Active users	1
2023-12-24	2023	51	/pl/objednavka	Average engagement time per session	6
2023-12-24	2023	51	/pl/objednavka	New users	0
2023-12-24	2023	51	/pl/objednavka	Sessions	1
2023-12-25	2023	52	/	Active users	25
2023-12-25	2023	52	/	Average engagement time per session	239
2023-12-25	2023	52	/	New users	20
2023-12-25	2023	52	/	Sessions	28
2023-12-25	2023	52	/de/objednavka	Active users	0
2023-12-25	2023	52	/de/objednavka	Average engagement time per session	0
2023-12-25	2023	52	/de/objednavka	New users	0
2023-12-25	2023	52	/de/objednavka	Sessions	3
2023-12-25	2023	52	/en	Active users	2
2023-12-25	2023	52	/en	Average engagement time per session	0
2023-12-25	2023	52	/en	New users	2
2023-12-25	2023	52	/en	Sessions	2
2023-12-25	2023	52	/objednavka	Active users	2
2023-12-25	2023	52	/objednavka	Average engagement time per session	301
2023-12-25	2023	52	/objednavka	New users	0
2023-12-25	2023	52	/objednavka	Sessions	2
2023-12-26	2023	52	/	Active users	26
2023-12-26	2023	52	/	Average engagement time per session	166
2023-12-26	2023	52	/	New users	24
2023-12-26	2023	52	/	Sessions	30
2023-12-26	2023	52	/de	Active users	3
2023-12-26	2023	52	/de	Average engagement time per session	403
2023-12-26	2023	52	/de	New users	2
2023-12-26	2023	52	/de	Sessions	3
2023-12-26	2023	52	/de/objednavka	Active users	1
2023-12-26	2023	52	/de/objednavka	Average engagement time per session	0
2023-12-26	2023	52	/de/objednavka	New users	0
2023-12-26	2023	52	/de/objednavka	Sessions	3
2023-12-26	2023	52	/en	Active users	2
2023-12-26	2023	52	/en	Average engagement time per session	182
2023-12-26	2023	52	/en	New users	1
2023-12-26	2023	52	/en	Sessions	2
2023-12-26	2023	52	/pl	Active users	2
2023-12-26	2023	52	/pl	Average engagement time per session	158
2023-12-26	2023	52	/pl	New users	0
2023-12-26	2023	52	/pl	Sessions	2
2023-12-26	2023	52	/pl/objednavka	Active users	2
2023-12-26	2023	52	/pl/objednavka	Average engagement time per session	0
2023-12-26	2023	52	/pl/objednavka	New users	1
2023-12-26	2023	52	/pl/objednavka	Sessions	2
2023-12-27	2023	52	/	Active users	27
2023-12-27	2023	52	/	Average engagement time per session	297
2023-12-27	2023	52	/	New users	24
2023-12-27	2023	52	/	Sessions	35
2023-12-27	2023	52	/de	Active users	4
2023-12-27	2023	52	/de	Average engagement time per session	219
2023-12-27	2023	52	/de	New users	2
2023-12-27	2023	52	/de	Sessions	4
2023-12-27	2023	52	/de/objednavka	Active users	0
2023-12-27	2023	52	/de/objednavka	Average engagement time per session	0
2023-12-27	2023	52	/de/objednavka	New users	0
2023-12-27	2023	52	/de/objednavka	Sessions	3
2023-12-27	2023	52	/en/objednavka	Active users	1
2023-12-27	2023	52	/en/objednavka	Average engagement time per session	10
2023-12-27	2023	52	/en/objednavka	New users	0
2023-12-27	2023	52	/en/objednavka	Sessions	1
2023-12-27	2023	52	/objednavka	Active users	2
2023-12-27	2023	52	/objednavka	Average engagement time per session	1063
2023-12-27	2023	52	/objednavka	New users	2
2023-12-27	2023	52	/objednavka	Sessions	2
2023-12-27	2023	52	/pl	Active users	5
2023-12-27	2023	52	/pl	Average engagement time per session	126
2023-12-27	2023	52	/pl	New users	2
2023-12-27	2023	52	/pl	Sessions	6
2023-12-27	2023	52	/pl/objednavka	Active users	1
2023-12-27	2023	52	/pl/objednavka	Average engagement time per session	0
2023-12-27	2023	52	/pl/objednavka	New users	0
2023-12-27	2023	52	/pl/objednavka	Sessions	1
2023-12-28	2023	52	/	Active users	37
2023-12-28	2023	52	/	Average engagement time per session	330
2023-12-28	2023	52	/	New users	34
2023-12-28	2023	52	/	Sessions	39
2023-12-28	2023	52	/de	Active users	2
2023-12-28	2023	52	/de	Average engagement time per session	42
2023-12-28	2023	52	/de	New users	2
2023-12-28	2023	52	/de	Sessions	4
2023-12-28	2023	52	/de/objednavka	Active users	0
2023-12-28	2023	52	/de/objednavka	Average engagement time per session	0
2023-12-28	2023	52	/de/objednavka	New users	0
2023-12-28	2023	52	/de/objednavka	Sessions	1
2023-12-28	2023	52	/en/objednavka	Active users	1
2023-12-28	2023	52	/en/objednavka	Average engagement time per session	0
