name,type,reach,impressions,spend,date_start,date_stop,result_type,results,video_p25_watched_actions,video_p50_watched_actions,video_p75_watched_actions,video_p100_watched_actions
families_with_children__traffic__120215323827970063__de,day_ad,429.0,553.0,163.32,2025-01-18,2025-01-18,Link clicks,2,117.0,68.0,45.0,37.0
families_with_children__traffic__120215323827970063__pl,day_ad,382.0,486.0,186.54,2025-01-18,2025-01-18,Link clicks,1,141.0,74.0,48.0,36.0
families_with_children__traffic__120215323827970063__de,day_ad,395.0,544.0,138.7,2025-01-19,2025-01-19,Link clicks,2,135.0,81.0,60.0,49.0
families_with_children__traffic__120215323827970063__pl,day_ad,360.0,483.0,123.39,2025-01-19,2025-01-19,Link clicks,1,115.0,64.0,45.0,34.0
families_with_children__traffic__120215323827970063__cs,day_ad,362.0,490.0,118.36,2025-01-19,2025-01-19,Link clicks,4,130.0,72.0,53.0,43.0
families_with_children__traffic__120215323827970063__en,day_ad,446.0,633.0,147.91,2025-01-19,2025-01-19,Link clicks,3,127.0,69.0,51.0,37.0
families_with_children__traffic__120215323827970063__pl,day_ad,578.0,694.0,216.29,2025-01-24,2025-01-24,Link clicks,4,161.0,80.0,50.0,36.0
families_with_children__traffic__120215323827970063__de,day_ad,617.0,807.0,216.97,2025-01-24,2025-01-24,Link clicks,7,144.0,76.0,49.0,32.0
families_with_children__traffic__120215323827970063__cs,day_ad,592.0,729.0,216.89,2025-01-24,2025-01-24,Link clicks,10,187.0,101.0,66.0,48.0
families_with_children__traffic__120215323827970063__en,day_ad,639.0,898.0,217.03,2025-01-24,2025-01-24,Link clicks,3,140.0,69.0,43.0,33.0
families_with_children__traffic__120215323827970063__cs,day_ad,489.0,627.0,185.91,2025-01-25,2025-01-25,Link clicks,9,135.0,71.0,42.0,29.0
families_with_children__traffic__120215323827970063__en,day_ad,496.0,651.0,181.34,2025-01-25,2025-01-25,Link clicks,2,130.0,64.0,41.0,33.0
families_with_children__traffic__120215323827970063__de,day_ad,501.0,656.0,190.0,2025-01-25,2025-01-25,Link clicks,2,147.0,77.0,50.0,38.0
families_with_children__traffic__120215323827970063__pl,day_ad,455.0,547.0,186.99,2025-01-25,2025-01-25,Link clicks,1,137.0,78.0,49.0,40.0
families_with_children__traffic__120215323827970063__en,day_ad,521.0,802.0,194.44,2025-01-31,2025-01-31,Link clicks,3,150.0,78.0,51.0,44.0
families_with_children__traffic__120215323827970063__pl,day_ad,454.0,649.0,205.21,2025-01-31,2025-01-31,Link clicks,0,149.0,82.0,55.0,37.0
families_with_children__traffic__120215323827970063__de,day_ad,462.0,688.0,188.74,2025-01-31,2025-01-31,Link clicks,4,124.0,73.0,44.0,35.0
families_with_children__traffic__120215323827970063__cs,day_ad,528.0,832.0,209.68,2025-01-31,2025-01-31,Link clicks,3,152.0,94.0,56.0,44.0
families_with_children__traffic__120215323827970063__cs,day_ad,498.0,704.0,204.75,2025-02-01,2025-02-01,Link clicks,7,168.0,94.0,64.0,47.0
families_with_children__traffic__120215323827970063__en,day_ad,464.0,652.0,172.5,2025-02-01,2025-02-01,Link clicks,5,115.0,60.0,43.0,37.0
families_with_children__traffic__120215323827970063__pl,day_ad,486.0,657.0,204.73,2025-02-01,2025-02-01,Link clicks,4,121.0,75.0,47.0,32.0
families_with_children__traffic__120215323827970063__de,day_ad,419.0,636.0,185.68,2025-02-01,2025-02-01,Link clicks,3,112.0,65.0,44.0,34.0
families_with_children__traffic__120215323827970063__pl,day_ad,244.0,313.0,97.86,2025-02-02,2025-02-02,Link clicks,1,74.0,43.0,28.0,21.0
families_with_children__traffic__120215323827970063__de,day_ad,275.0,383.0,89.78,2025-02-02,2025-02-02,Link clicks,0,63.0,31.0,24.0,19.0
families_with_children__traffic__120215323827970063__en,day_ad,259.0,345.0,72.67,2025-02-02,2025-02-02,Link clicks,0,59.0,37.0,25.0,22.0
families_with_children__traffic__120215323827970063__cs,day_ad,267.0,350.0,107.81,2025-02-02,2025-02-02,Link clicks,2,102.0,55.0,38.0,30.0
